title,view,premiere,link
GATE CS 2024 ANSWER KEY OUT!! Detailed Paper Discussion - Shift 1 | GeeksforGeeks,369 views,12 hours ago,/watch?v=9fTvjjI67Rk
TREE DATA STRUCTURES | What is Tree? | DSA Course | GeeksforGeeks,838 views,6 days ago,/watch?v=AylOfzYJ2qE
Python's Map Function Explained with Examples | Python Tutorial |  GeeksforGeeks,868 views,10 days ago,/watch?v=L66_EOxzLKI
Make your Resume Strong with these DSA Projects | Best DSA Projects for your Resume | GeeksforGeeks,2.2K views,2 weeks ago,/watch?v=NjUteXHoOXk
APTITUDE & REASONING | GATE 2024 Ultimate Revision | PYQ and Sample Questions GATE,1.5K views,3 weeks ago,/watch?v=CaAjf_RE9ew
DATA SCIENCE PROJECTS Made Easy with COLAB AI | Generative AI | GeeksforGeeks,956 views,1 month ago,/watch?v=Gt5ZkoFrgyE
Three 90 Challenge - Q&A with Sandeep Jain Sir | GeeksforGeeks #commitwithgfg,3.4K views,1 month ago,/watch?v=KyUbJ4aoIgQ
WHAT IS LINKED LIST? | Linked List Data Structures | DSA Course | GeeksforGeeks,1.5K views,1 month ago,/watch?v=MCG7S2fGUeU
5 BEST GITHUB REPOSITORIES Every DEVELOPER Must Know! | GeeksforGeeks,1.7K views,1 month ago,/watch?v=xvUopUeVS0U
Journey from an SDE at PAYTM to MICROSOFT | Software Developer Experience | GeeksforGeeks,1.4K views,2 months ago,/watch?v=0mRyTDhxe_s
